"Population and changes during the quarter, by region, time  and  contents"

"County";"1997K4";"1998K1";"1998K2";"1998K3";"1998K4";"1999K1";"1999K2";"1999K3";"1999K4";"2000K1";"2000K2";"2000K3";"2000K4";"2001K1";"2001K2";"2001K3";"2001K4";"2002K1";"2002K2";"2002K3";"2002K4";"2003K1";"2003K2";"2003K3";"2003K4";"2004K1";"2004K2";"2004K3";"2004K4";"2005K1";"2005K2";"2005K3";"2005K4";"2006K1";"2006K2";"2006K3";"2006K4";"2007K1";"2007K2";"2007K3";"2007K4";"2008K1";"2008K2";"2008K3";"2008K4";"2009K1";"2009K2";"2009K3";"2009K4";"2010K1";"2010K2";"2010K3";"2010K4";"2011K1";"2011K2";"2011K3";"2011K4";"2012K1";"2012K2";"2012K3";"2012K4";"2013K1";"2013K2";"2013K3";"2013K4";"2014K1";"2014K2";"2014K3";"2014K4";"2015K1";"2015K2";"2015K3";"2015K4";"2016K1";"2016K2";"2016K3";"2016K4"
" ";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter";"Population at the beginning of the quarter"
"Østfold";243230;243585;243950;244663;245551;246018;246133;246949;247825;248217;248593;249452;250630;251032;251174;251585;252357;252746;253171;253631;254742;255122;255410;255992;256451;256668;256846;257436;258261;258542;258975;259477;260064;260389;260641;261312;262090;262523;262913;263756;264760;265458;266151;267039;268182;268584;269162;270085;270784;271662;272254;273215;274251;274827;275535;276647;277766;278352;279059;280164;281243;282000;282595;283574;284493;284962;285321;286113;286781;287198;287561;288520;289178;289867;290412;291562;292127
"Akershus";451961;453490;454811;456635;459216;460564;462053;463445;465889;467052;468423;469613;471171;471988;473058;474040;475442;477325;478799;480761;482290;483283;484370;485751;487221;488618;489889;491327;493199;494218;495386;497069;499276;501125;502739;505023;507184;509177;511195;513781;516372;518567;520786;523272;525871;527625;529325;531464;533767;536499;538664;541102;543642;545653;547946;550534;553705;556254;559062;562089;564730;566399;568075;570843;573326;575757;578030;581225;583325;584899;586860;590106;592512;594533;596704;599608;601789
"Oslo";499496;499693;501434;502113;502535;502867;504291;505400;506825;507467;508820;508826;509029;508726;510873;511790;512932;512589;514541;515425;516467;517401;518902;519553;521193;521886;523488;524888;527378;529846;531410;533050;536209;538411;541822;544073;547155;548617;551832;553396;557052;560484;565653;568809;573388;575475;578870;580229;584292;586860;590041;592082;596923;599230;605005;607292;611491;613285;617242;618378;621332;623966;626953;629313;632990;634463;638529;640313;645701;647676;650733;652044;656614;658390;660987;662587;666691
"Hedmark";186141;186118;186043;186064;186326;186321;186221;186345;187012;187103;187228;187543;188004;187999;187782;187724;187851;187965;187825;187994;188058;188281;188312;188432;188547;188326;188220;188224;188326;188376;188289;188244;188415;188511;188349;188508;188673;188692;188618;188721;189082;189289;189447;189586;189965;190071;190094;190270;190528;190709;190769;191051;191465;191622;191768;192064;192680;192791;192970;193180;193479;193719;193722;193973;194236;194433;194606;194723;195039;195153;195155;195408;195392;195356;195443;195678;195942
"Oppland";182117;182162;182031;182221;182298;182239;182139;182162;182520;182701;182785;183076;183359;183419;183371;183186;183269;183235;183120;183184;183567;183582;183647;183752;183789;183690;183556;183367;183365;183174;183156;183103;183215;183204;183182;183003;182936;183037;182931;182992;183275;183637;183723;183851;184103;184288;184370;184714;185028;185216;185455;185640;185922;186087;186349;186744;187049;187147;187209;187205;187394;187254;187301;187397;187723;187820;188139;188389;188813;188807;188814;188775;188916;188953;188945;188994;189319
"Buskerud";232576;232967;233354;233749;234530;235018;235182;235603;236435;236811;237236;237909;238587;238833;238899;239039;239371;239793;240113;240730;241244;241371;241653;241998;242217;242331;242488;242631;243041;243491;243697;244209;244815;245225;245553;246344;246979;247655;248274;249215;250110;251220;251960;253006;253977;254634;255238;255995;256807;257673;258353;259258;260217;261110;262210;263183;264176;265164;266102;266980;268304;269003;269534;270385;271252;272228;273039;273894;274454;274737;275466;276364;277182;277684;278028;278844;279335
"Vestfold";208238;208687;208888;209584;210434;210707;210891;211581;212410;212775;213004;213731;214588;215030;215219;215665;216251;216456;216676;217203;217893;218171;218386;218866;219245;219480;219555;220098;220428;220736;220918;221372;221708;222104;222403;222996;223458;223804;224028;224900;225864;226433;227026;227798;228707;229134;229401;230169;230628;231286;231726;232441;233198;233705;234163;235179;235891;236424;236892;237799;238509;238748;239111;239907;240398;240860;241273;241939;242401;242662;242996;243909;244361;244967;245160;246175;246862
"Telemark";163884;163857;163882;164147;164480;164523;164513;164657;165062;165038;164954;165123;165569;165595;165618;165614;165599;165710;165689;165720;165924;165855;165936;166021;166097;166124;166025;166181;166346;166289;166124;166080;166122;166140;166104;166154;166211;166170;166110;166346;166542;166731;166866;167102;167362;167548;167610;167704;168016;168231;168420;168849;169094;169185;169276;169516;169872;170023;170166;170416;170643;170902;170865;171164;171333;171469;171692;171879;172033;171953;171904;172157;172414;172494;172527;172945;173175
"Aust-Agder";101127;101152;101275;101420;101444;101487;101545;101718;102128;102178;102241;102440;102709;102714;102678;102689;102871;102945;102968;103193;103226;103195;103122;103261;103353;103374;103345;103454;103543;103596;103603;103852;104125;104084;104134;104385;104613;104759;104863;105398;105879;106130;106364;106842;107145;107359;107570;107901;108199;108499;108844;109294;109808;110048;110299;110819;111227;111495;111704;112105;112572;112772;112918;113231;113518;113747;113922;114321;114599;114767;115044;115377;115552;115785;115873;116516;116617
