"Protected area, by region, protected area, time  and  contents"

"County";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
" ";" ";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)";"Protected area (km²)"
"Østfold"
" ";"National parks";..;0.00;0.00;..;..;..;0.00;..;0.00;..;..;..;14.77;14.77;14.70;14.69;14.69;14.91;14.89
" ";"Nature reserves";..;67.78;67.78;..;..;..;69.22;..;71.82;74.19;74.19;77.65;78.06;89.14;88.89;88.87;116.76;129.69;133.66
" ";"Landscape protected areas";..;10.95;10.95;..;..;..;10.17;..;10.17;10.17;10.17;10.17;10.18;16.40;16.40;16.39;21.72;21.72;21.73
" ";"Other protections";..;0.00;0.00;..;..;..;0.00;..;0.06;0.06;0.06;0.07;0.35;0.33;0.32;0.51;0.51;0.50;0.50
"Akershus"
" ";"National parks";..;0.00;0.00;..;..;..;0.00;..;0.00;..;..;..;..;..;..;..;..;..;..
" ";"Nature reserves";..;104.20;104.20;..;..;..;123.52;..;120.63;120.86;121.11;133.43;133.45;139.48;140.56;122.69;155.61;157.83;167.79
" ";"Landscape protected areas";..;28.68;28.68;..;..;..;60.20;..;29.46;29.46;29.46;32.50;32.50;32.50;32.50;32.40;32.48;32.49;31.87
" ";"Other protections";..;1.28;1.28;..;..;..;1.55;..;1.33;1.33;1.33;1.40;1.41;1.41;1.41;1.41;1.41;1.42;1.42
"Oslo"
" ";"National parks";..;0.00;0.00;..;..;..;0.00;..;0.00;..;..;..;..;..;..;..;..;..;..
" ";"Nature reserves";..;0.00;0.00;..;..;..;0.00;..;5.35;5.57;5.57;6.36;6.36;6.46;6.46;6.70;6.70;6.69;9.21
" ";"Landscape protected areas";..;0.00;0.00;..;..;..;0.00;..;30.73;30.89;30.95;30.95;30.95;30.81;30.81;30.79;30.79;30.83;30.78
" ";"Other protections";..;0.00;0.00;..;..;..;0.00;..;0.63;0.35;0.63;0.07;0.08;0.08;0.08;0.08;0.08;0.09;0.09
"Hedmark"
" ";"National parks";..;320.00;320.00;..;..;..;1035.91;..;1039.39;1041.75;1041.75;1041.75;1041.75;1042.41;1042.12;1124.32;1124.32;1124.32;1124.32
" ";"Nature reserves";..;358.29;358.67;..;..;..;477.67;..;669.60;925.46;925.46;995.67;1017.05;1018.70;1018.66;1016.26;1054.13;1108.53;1117.97
