"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Halden";66.83;315.44;258.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Moss";49.94;13.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Sarpsborg";210.45;188.51;8.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Fredrikstad";254.58;35.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Hvaler";87.03;0.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Aremark";0.00;179.78;141.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Marker";0.00;190.09;222.31;0.68;0.00;0.00;0.00;0.00;0.00;0.00
"Rømskog";0.00;57.66;119.91;5.89;0.00;0.00;0.00;0.00;0.00;0.00
"Trøgstad";0.00;94.47;109.29;1.05;0.00;0.00;0.00;0.00;0.00;0.00
"Spydeberg";0.57;81.24;60.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Askim";1.50;48.21;19.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Eidsberg";11.28;113.80;110.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Skiptvet";19.65;65.53;16.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Rakkestad";6.08;301.22;125.72;0.02;0.00;0.00;0.00;0.00;0.00;0.00
"Råde";98.90;19.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Rygge";73.26;0.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Våler (Østf.)";105.48;136.90;14.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Hobøl";13.04;96.48;31.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Vestby";46.08;87.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Ski";0.38;105.66;59.57;0.10;0.00;0.00;0.00;0.00;0.00;0.00
"Ås";9.94;92.41;0.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Frogn";20.85;65.08;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Nesodden";8.77;43.93;7.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Oppegård";6.69;28.21;2.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Bærum";29.07;47.98;55.62;59.54;0.00;0.00;0.00;0.00;0.00;0.00
