ÒCountyÓ;ÓProtected area (km²)";" ";" ";" "
" ";"National parks";"Nature reserves";"Landscape protected areas";"Other protections"
"Halden";..;35.26;10.73;0.06
"Moss";..;2.29;3.93;0.00
"Sarpsborg";..;2.19;0.13;0.02
"Fredrikstad";0.95;7.96;..;0.13
"Hvaler";13.94;1.43;..;0.13
"Aremark";..;27.39;..;..
"Marker";..;21.77;..;..
"Rømskog";..;5.75;..;..
"Trøgstad";..;2.64;..;..
"Spydeberg";..;0.87;..;0.00
"Askim";..;0.34;..;0.00
"Eidsberg";..;2.90;..;0.00
"Skiptvet";..;1.18;..;0.00
"Rakkestad";..;5.16;..;..
"Råde";..;6.21;0.87;0.14
"Rygge";..;3.40;6.06;0.03
"Våler (Østf.)";..;4.44;..;..
"Hobøl";..;2.48;..;..
"Vestby";..;0.29;..;0.01
"Ski";..;5.55;..;0.00
"Ås";..;1.70;..;0.00
"Frogn";..;3.82;..;0.00
"Nesodden";..;0.08;..;0.12
"Oppegård";..;0.40;2.29;..
"Bærum";..;9.06;5.29;0.01
"Asker";..;4.45;5.54;0.03
"Aurskog-Høland";..;22.50;..;0.44
"Sørum";..;..;..;..
"Fet";..;37.10;..;..
"Rælingen";..;24.42;..;0.00
"Enebakk";..;22.20;..;..
"Lørenskog";..;1.58;..;0.00
"Skedsmo";..;2.49;..;..
"Nittedal";..;6.03;..;..
"Gjerdrum";..;2.33;..;0.00
"Ullensaker";..;0.35;13.97;..
"Nes (Ak.)";..;2.12;..;0.81
"Eidsvoll";..;3.95;0.83;0.00
"Nannestad";..;11.19;3.94;..
"Hurdal";..;6.17;..;0.00
"Oslo municipality";..;9.21;30.78;0.09
"Kongsvinger";..;5.09;..;..
"Hamar";..;52.03;..;0.01
"Ringsaker";..;58.98;..;0.05
"Løten";..;20.66;..;..
"Stange";..;8.34;..;0.00
"Nord-Odal";..;2.83;..;..
"Sør-Odal";..;4.02;..;..
"Eidskog";..;3.97;..;..
"Grue";..;22.71;..;..
"Åsnes";..;13.72;..;..
"Våler (Hedm.)";..;13.34;..;0.00
"Elverum";..;15.98;..;0.00
"Trysil";82.47;79.92;..;0.00
"Åmot";..;84.07;..;..
"Stor-Elvdal";57.44;194.00;..;..
"Rendalen";..;208.29;456.48;0.00
"Engerdal";376.02;186.28;39.15;..
"Tolga";110.98;9.64;102.96;..
"Tynset";206.26;35.86;285.25;..
"Alvdal";..;8.35;..;..
"Folldal";135.87;66.61;330.07;..
"Os (Hedm.)";155.29;23.29;125.64;..
"Lillehammer";..;7.91;..;0.77
"Gjøvik";..;2.59;..;0.00
"Dovre";613.42;30.18;232.36;..
"Lesja";1229.01;..;485.44;..
"Skjåk";1372.80;19.10;144.03;..
"Lom";1028.57;22.34;112.87;..
"Vågå";303.13;23.12;29.66;..
"Nord-Fron";102.69;52.28;54.97;..
"Sel";241.21;6.79;3.31;0.04
"Sør-Fron";187.45;8.17;72.40;..
"Ringebu";25.65;56.51;0.01;0.00
"Øyer";..;9.08;..;1.37
"Gausdal";280.02;90.67;116.34;..
"Østre Toten";..;31.25;..;..
"Vestre Toten";..;0.21;..;0.00
"Jevnaker";..;17.05;..;..
"Lunner";..;4.26;0.03;0.06
"Gran";..;9.55;..;0.73
"Søndre Land";..;18.94;..;0.69
"Nordre Land";11.82;36.06;8.67;..
"Sør-Aurdal";..;33.46;135.85;..
"Etnedal";..;13.87;..;..
"Nord-Aurdal";48.73;19.30;9.94;0.00
"Vestre Slidre";..;1.05;..;0.83
"Øystre Slidre";123.93;22.02;58.64;0.00
"Vang";38.16;34.03;0.07;0.13
"Drammen";..;0.07;..;0.02
"Kongsberg";..;91.89;1.55;0.06
"Ringerike";..;57.88;15.91;0.00
"Hole";..;4.47;0.26;0.04
"Flå";..;13.16;80.72;..
"Nes (Busk.)";..;10.81;13.05;..
"Gol";..;9.65;..;..
"Hemsedal";..;0.02;34.40;..
"Ål";..;0.06;99.19;..
"Hol";386.74;5.91;96.78;..
