lat,lng,dates
61.01,12.21,2011-09-01
70.19,29.54,2011-01-01
67.55,15.94,2011-02-01
64.0,26.0,2011-01-01
67.0,27.0,2011-01-01
68.94,18.79,2011-01-01
69.32,20.86,2011-03-01
61.73,9.94,2011-09-01
69.23,18.92,2011-04-01
66.81,15.71,2011-01-01
62.31,8.13,2011-02-01
61.31,8.81,2011-03-01
64.0,32.5,2011-01-01
61.29,10.75,2011-09-01
69.42,21.76,2011-05-01
69.67,23.77,2011-04-01
68.67,17.2,2011-04-01
62.37,10.7,2011-11-01
62.26,9.7,2011-06-01
69.67,23.77,2011-04-01
68.67,17.2,2011-04-01
62.37,10.7,2011-11-01
62.26,9.7,2011-06-01
69.76,25.12,2011-02-01
61.92,7.83,2011-02-01
65.86,13.02,2011-03-01
66.22,14.39,2011-05-01
61.29,9.22,2011-09-01
59.47,6.93,2011-09-01
69.38,21.1,2011-05-01
66.1,13.43,2011-01-01
64.7,11.94,2011-03-01
62.64,10.77,2011-08-01
62.78,8.89,2011-12-01
70.38,28.71,2011-02-01
70.35,28.81,2011-02-01
62.67,9.43,2011-12-01
69.05,19.09,2011-05-01
61.32,9.11,2011-09-01
70.0,26.78,2011-05-01
68.8,17.63,2011-02-01
62.27,8.07,2011-12-01
68.61,17.5,2011-05-01
70.35,26.98,2011-10-01
65.82,32.2,2011-01-01
65.0,32.0,2011-01-01
66.91,13.68,2011-01-01
70.35,28.8,2011-02-01
70.26,28.83,2011-02-01
61.34,9.14,2011-10-01
62.18,10.8,2011-09-01
62.41,10.13,2011-07-01
68.86,17.66,2011-02-01
63.4,9.6,2011-09-01
64.64,13.21,2011-03-01
68.96,18.85,2011-01-01
62.25,9.7,2011-06-01
59.61,7.09,2011-09-01
69.2,18.85,2011-01-01
62.04,9.95,2011-06-01
69.05,19.09,2011-05-01
61.34,10.6,2011-03-01
68.62,16.87,2011-03-01
68.62,16.87,2011-03-01
70.06,26.72,2011-04-01
62.78,8.84,2011-12-01
69.26,20.12,2011-08-01
59.48,6.94,2011-09-01
69.4,20.9,2011-10-01
61.32,11.12,2011-09-01
65.82,32.2,2011-01-01
65.0,32.0,2011-01-01
66.91,13.68,2011-01-01
70.35,28.8,2011-02-01
70.26,28.83,2011-02-01
61.34,9.14,2011-10-01
65.02,12.86,2011-12-01
70.32,25.04,2011-01-01
69.26,20.12,2011-08-01
59.48,6.94,2011-09-01
69.4,20.9,2011-10-01
61.32,11.12,2011-09-01
67.13,18.5,2011-01-01
68.95,33.17,2011-01-01
63.39,11.83,2011-01-01
70.27,27.56,2011-02-01
61.61,9.2,2011-02-01
66.39,13.97,2011-02-01
70.0,26.78,2011-05-01
69.19,19.0,2011-12-01
61.29,10.71,2011-10-01
62.07,10.02,2011-07-01
59.64,7.41,2011-09-01
68.66,17.61,2011-04-01
65.45,13.37,2011-01-01
61.41,6.94,2011-05-01
62.52,11.96,2011-10-01
62.35,12.1,2011-10-01
61.01,12.22,2011-10-01
68.6,16.82,2011-03-01
59.43,7.01,2011-10-01
70.53,24.34,2011-07-01
70.5,27.82,2011-05-01
